variable;unit;min;max;definition
Trade|Primary Energy|Oil|Volume;EJ/yr;NA;1000;net exports of crude oil (excluding refined oil products), at the global level these should add up to the trade losses only
Trade|Secondary Energy|Solids and Liquids|Biomass|Volume;EJ/yr;NA;1000;net exports of bioenergy, at the global level these should add up to the trade losses only
Trade|Secondary Energy|Electricity|Volume;EJ/yr;NA;1000;net exports of electricity, at the global level these should add up to the trade losses only
Trade|Secondary Energy|Other|Volume;EJ/yr;NA;1000;net exports of other secondary energy carriers not covered by above categories (eg, hydrogen, fossil liquids, etc..), at the global level these should add up to the trade losses only
Capital Cost|Electricity|Coal|IGCC|w/o CCS;$/kW;NA;1000;capital cost for a new IGCC facility
Efficiency|Electricity|Coal|IGCC|w/o CCS;%;NA;1000;efficiency of a new IGCC facility
Capital Cost|Electricity|Gas|CC|w/o CCS;$/kW;NA;1000;capital cost of a new gas CC facility
Efficiency|Electricity|Gas|CC|w/o CCS;%;NA;1000;efficiency of a new gas CC facility
Capital Cost|Electricity|Solar|PV;$/kW;NA;1000;capital cost of new solar PV cells
Capital Cost|Electricity|Solar|CSP;$/kW;NA;1000;capital cost of a new solar CSP facility
Capital Cost|Electricity|Nuclear;$/kW;NA;1000;capital cost of a new nuclear power plant
Capital Cost|Electricity|Wind|Onshore;$/kW;NA;1000;capital cost of a new onshore wind power plant
Emissions|GHG|Allowance Allocation;Mt CO2-equiv/yr;NA;1000;Initial allocation of GHG emission allowances under International Emissions Trading System implied by burden sharing scheme
Trade|Emissions Allowances|Value;billion US$2005/yr;NA;1000;net exports of emission allowances, at the global level these should add up to zero.
Trade|Emissions Allowances|Volume;Mt CO2-equiv/yr;NA;1000;volume of traded emissions (exports minus imports). At the global level, these should add up to zero
Resource|Cumulative Extraction|Coal;EJ;NA;1000;Cumulative coal extraction
Resource|Cumulative Extraction|Gas;EJ;NA;1000;Cumulative gas extraction
Resource|Cumulative Extraction|Gas|Conventional;EJ;NA;1000;Cumulative extraction of conventional gas
Resource|Cumulative Extraction|Gas|Unconventional;EJ;NA;1000;Cumulative extraction of unconventional gas
Resource|Cumulative Extraction|Oil;EJ;NA;1000;Cumulative oil extraction
Resource|Cumulative Extraction|Oil|Conventional;EJ;NA;1000;Cumulative extraction of conventional oil
Resource|Cumulative Extraction|Oil|Unconventional;EJ;NA;1000;Cumulative extraction of unconventional oil
Resource|Cumulative Extraction|Uranium;ktU;NA;1000;Cumulative extraction of uranium
Investment|Energy Supply;billion US$2005/yr;NA;1000;Investments into the energy supply system
Investment|Energy Supply|Electricity;billion US$2005/yr;NA;1000;Investments into new electricity generation capacity
Trade|All;billion US$2005/yr;NA;1000;net exports of all goods, at the global level these should add up to the trade losses only
Emissions|Sulfur;Mt SO2/yr;NA;1000;total sulfur emissions
Emissions|BC;Mt BC/yr;NA;1000;total black carbon emissions
Emissions|OC;Mt OC/yr;NA;1000;total organic carbon emissions
Emissions|NOx;Mt NO2/yr;NA;1000;total nitrogen oxide emissions
Emissions|CO;Mt CO/yr;NA;1000;total carbon monoxide emissions
Emissions|Sulfur|Energy Supply|Electricity;Mt SO2/yr;NA;1000;total sulfur emissions from electricity generation
Emissions|Sulfur|Energy Supply and Demand;Mt SO2/yr;NA;1000;total sulfur emissions from energy use on supply and demand side
